date	fed-o	fed	type	level	status	comment
1615213330	14	2	43	6	0	Register Object Class = 3 - OK
1615213330	14	2	37	7	0	Subscribe Object Class = 4, # of att. = 2 - OK
1615213330	14	2	9	8	0	ON at time 0.000000 - OK
1615213330	14	2	8	8	0	ON at time 0.100000 - OK
1615213330	14	2	15	8	0	Label "Init" ended - OK
1615213330	14	1	15	8	0	Label "Init" ended - OK
1615213687	8	2	7	9	0	Federate 2 resign federation(8) - OK
1615213687	1	4	9	8	0	OFF - OK
1615213687	1	4	8	8	0	OFF - OK
1615213687	1	4	7	9	0	Federate 4 resign federation(1) - OK
1615213687	0	0	1	9	0	Socket 9 - OK
1615213687	0	0	1	9	0	Socket 17 - OK
1615213687	10	2	7	9	0	Federate 2 resign federation(10) - OK
1615213687	1	5	9	8	0	OFF - OK
1615213687	1	5	8	8	0	OFF - OK
1615213687	1	5	7	9	0	Federate 5 resign federation(1) - OK
1615213687	0	0	1	9	0	Socket 11 - OK
1615213687	0	0	1	9	0	Socket 18 - OK
1615213687	8	1	49	10	63	Delete ObjID = 0Object <0> not found in map set. - Exception
1615213687	8	1	7	9	0	Federate 1 resign federation(8) - OK
1615213687	0	0	4	9	0	Federation Name "COSSIM_PROC_NET_NODE2" (8) destroyed - OK
1615213687	10	1	49	10	63	Delete ObjID = 0Object <0> not found in map set. - Exception
1615213687	10	1	7	9	0	Federate 1 resign federation(10) - OK
1615213687	0	0	4	9	0	Federation Name "COSSIM_PROC_NET_NODE3" (10) destroyed - OK
1615213689	14	1	43	6	0	Register Object Class = 4 - OK
1615215012	4	2	7	9	0	Federate 2 resign federation(4) - OK
1615215012	1	3	9	8	0	OFF - OK
1615215012	1	3	8	8	0	OFF - OK
1615215012	1	3	7	9	0	Federate 3 resign federation(1) - OK
1615215012	4	1	49	10	63	Delete ObjID = 48Object <48> not found in map set. - Exception
1615215012	4	1	7	9	0	Federate 1 resign federation(4) - OK
1615215012	0	0	4	9	0	Federation Name "COSSIM_PROC_NET_NODE1" (4) destroyed - OK
1615215012	0	0	1	9	0	Socket 10 - OK
1615215012	0	0	1	9	0	Socket 14 - OK
1615215021	2	2	7	9	0	Federate 2 resign federation(2) - OK
1615215021	1	2	9	8	0	OFF - OK
1615215021	1	2	8	8	0	OFF - OK
1615215021	1	2	7	9	0	Federate 2 resign federation(1) - OK
1615215021	2	1	49	10	63	Delete ObjID = 0Object <0> not found in map set. - Exception
1615215021	14	1	43	6	0	Register Object Class = 4 - OK
1615215021	2	1	7	9	0	Federate 1 resign federation(2) - OK
1615215021	0	0	4	9	0	Federation Name "COSSIM_PROC_NET_NODE0" (2) destroyed - OK
1615215021	1	1	49	10	63	Delete ObjID = 4543488Object <4543488> not found in map set. - Exception
1615215021	1	1	9	8	0	OFF - OK
1615215021	1	1	8	8	0	OFF - OK
1615215021	1	1	7	9	0	Federate 1 resign federation(1) - OK
1615215021	0	0	4	9	0	Federation Name "GLOBAL_SYNCHRONIZATION" (1) destroyed - OK
1615215021	14	1	49	6	0	Delete ObjID = 2 - OK
1615215021	14	1	49	6	0	Delete ObjID = 3 - OK
1615215021	14	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1615215021	14	2	38	7	0	Unubscribe Object Class = 4, # of att. = 0 - OK
1615215021	14	1	9	8	0	OFF - OK
